collection,code,genus,species,date,SiteTemp,Tree host,gall host,Notes,phenophase,lifestage,viability
556,65,Quercus,stellata,9/3/2016,Bob Noble Park/Peducah KY,Post Oak,Atrusca quercuscentricola,"not as spotted as ones found in forest park, vevlty to touch",dormant,,viable
563,13,Quercus,macrocarpa,9/2/2016,Simpson Park/St.louis MO,Bur Oak,Callirhytis flavipes,"midrib swelling, small most with ext holes",dormant,,viable
579,19,Quercus,alba,9/4/2016,Richmond hill park/Asheville NC,White oak ,Disholcaspis quercusglobulus,,dormant,,viable
580,3,Quercus,alba,9/4/2016,Richmond hill park/Asheville NC,White Oak,Acraspis pezomachoides,,dormant,,viable
582,59,Quercus,marilandica,9/4/2016,Richmond hill park/Asheville NC,Black jack oak/Q.marilandica,Kokkocynips imbricariae,"some found on ground, fall off easier than other bullet galls?",dormant,,viable
586,80,Quercus,prinoides,9/5/2016,Walton community park/Walton KY,Dwarf Chinquapin Oak?,Acraspis prinoides,"on midrib, globular with cone like spines, yellow in color",dormant,,viable
598,22,Quercus,macrocarpa,9/5/2016,Veterns memorial park/LexingtonKY,Bur Oak,Neuroterus floccosus,,dormant,,viable
601,2,Quercus,alba,9/6/2016,Crystal lake park/ Urbana IL,White Oak,Acraspis erinacei,,dormant,,viable
602,3,Quercus,alba,9/6/2016,Crystal lake park/ Urbana IL,White Oak,Acraspis pezomachoides,some with exit holes (two chambered),perimature,,viable
609,4,Quercus,macrocarpa,9/6/2016,Meadowbrook/Urbana IL,Bur Oak,Acraspis villosa,,dormant,,viable
638,1,Quercus,macrocarpa,9/24/2016,"Konza, Kansas",Bur Oak,Acraspis macrocarpae,,dormant,,viable
643,4,Quercus,macrocarpa,9/27/2016,Hickory Hills Park,Bur Oak,Acraspis villosa,some more weather and spines harder,dormant,,viable
644,20,Quercus,macrocarpa,9/27/2016,Hickory Hills Park,Bur Oak,Disholcaspis quercusmamma,"all new this year, one gaurded by ants, no exit holes",dormant,,viable
646,1,Quercus,macrocarpa,9/27/2016,Hickory Hills Park,Bur Oak,Acraspis macrocarpae,,dormant,,viable
647,19,Quercus,alba,9/27/2016,Hickory Hills Park,White Oak,Disholcaspis quercusglobulus,one broken but larvae cell in take in cup,dormant,,viable
649,2,Quercus,alba,9/27/2016,Hickory Hills Park,White Oak,Acraspis erinacei,exit holes present ,perimature,,viable
650,61,Quercus,alba,9/27/2016,Hickory Hills Park,White Oak ,Andricus quercusflocci,,dormant,,viable
652,8,Quercus,bicolor,9/27/2016,Hickory Hills Park,Swamp White Oak,andricus ignotus,very small,dormant,,viable
654,4,Quercus,macrocarpa,10/18/2016,Kent Park,Bur Oak,Acraspis villosa,,dormant,,viable
661,2,Quercus,alba,10/18/2016,Kent Park,White Oak,Acraspis erinacei,most lost color and are brownish,dormant,,viable
665,59,Quercus,rubra,10/18/2016,Kent Park,Red Oak,Kokkocynips imbricariae,found on the ground underneath tree,dormant,,viable
668,62,Quercus,rubra,10/18/2016,Kent Park,Red Oak,Zopheroteras sphaerula,found on ground undeneath tree,dormant,,viable
672,37,Quercus,macrocarpa,3/19/2017,Crystal lake park/ Urbana IL,Bur oak,Andricus pisiformis,"bud galls, spotted but not as bright in color as ones collected in past. ",dormant,,viable
690,61,Quercus,alba,4/3/2017,College Green park- Iowa city,White Oak,Andricus quercusflocci,"from last fall, on midrib, multiple ""seeds"", fuzzy and in clusters",dormant,,viable
694,33,Quercus,alba,4/9/2017,Hickory Hills Park,White Oak,Neuroterus vesicula,bud galls!,dormant,,viable
698,698-999,Quercus,macrocarpa,4/9/2017,Hickory Hills Park,Bur Oak,unknown,"swollen bark at base of last years growth, one bark split and looks like cells inside",dormant,,viable
709,11,Quercus,bicolor,4/17/2017,Pentacrest,Swamp White Oak,Andricus quercusstrobilanus,from last fall ,dormant,,viable
711,85,Quercus,alba,4/26/2017,Hickory Hills Park,White Oak,Callirhytis exigua?,"flower galls- found tiny red globular cells between stamen clusters on oak catkin.  C.exigua, only flower gall listed for white oak  ",dormant,,viable
712,38,Quercus,imbricaria,4/27/2017,Pentacrest,Shingle Oak,Dryocosmus quercuspalustris,2 on catkin,dormant,,viable
714,38,Quercus,coccinea,4/27/2017,Pentacrest,Scarlet oak,Dryocosmus quercuspalustris,,dormant,,viable
719,87,Quercus,palustris,5/2/2017,Behind apt,Pin Oak,Dryocosmus notha,"NEW gall, ellipitical intergral gall, comes to a poitn on one end (sometimes raised point), free rolling cell inside, thin wall",dormant,,viable
720,38,Quercus,palustris,5/2/2017,Behind apt,Pin Oak,Dryocosmus quercuspalustris,,dormant,,viable
721,87,Quercus,palustris,5/3/2017,"City Park , Iowa City IA (41.676, -91.539)",Pin Oak,Dryocosmus notha,,dormant,,viable
723,37,Quercus,macrocarpa,5/3/2017,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,Andricus pisiformis,on terminal and lateral buds,dormant,,viable
727,88,Quercus,macrocarpa,5/3/2017,"City Park , Iowa City IA (41.676, -91.539)",Bur Oak,Unknown catkin gall,"catkin gall, slight swelling of peduncle causing catkin to bend (usually right angle if not more), swelling can be hidden by stamen, easiest to find by bend",dormant,,viable
728,89,Quercus,bicolor,5/3/2017,"City Park , Iowa City IA (41.676, -91.539)",Swamp White Oak,Neuroterus pallidus,"Catkin gall, green swelling around stamen, globulus-ish, closest listing in Weld is N. pallidus",dormant,,viable
