"longitude","latitude","doy","seasind","acchours"
-75,41,37,0.0137963850468163,9.61278392123845
-75,43,37,0.00498834210437095,0
-70,45,37,0.000825782068391557,0
-100,29,44,0.0747433261968118,1052.20034651676
-100,31,44,0.068635247814333,857.781376035347
-100,33,44,0.0616767103594602,670.875428396876
-100,35,44,0.0536942861476656,492.532641600912
-100,39,44,0.0337146633931958,165.971827916081
-100,41,44,0.0210511415794409,25.3056554065523
-100,43,44,0.010310991489256,0
-100,45,44,0.003883377235288,0
-100,47,44,0.000623076463827157,0
-100,49,44,0,0
-95,31,44,0.068635247814333,857.781376035347
-95,33,44,0.0616767103594602,670.875428396876
-95,35,44,0.0536942861476656,492.532641600912
-95,39,44,0.0337146633931958,165.971827916081
-95,41,44,0.0210511415794409,25.3056554065523
-95,43,44,0.010310991489256,0
-95,45,44,0.003883377235288,0
-95,47,44,0.000623076463827157,0
-95,49,44,0,0
-90,31,44,0.068635247814333,857.781376035347
-90,33,44,0.0616767103594602,670.875428396876
-90,35,44,0.0536942861476656,492.532641600912
-90,39,44,0.0337146633931958,165.971827916081
-90,41,44,0.0210511415794409,25.3056554065523
-90,43,44,0.010310991489256,0
-90,45,44,0.003883377235288,0
-85,31,44,0.068635247814333,857.781376035347
-85,33,44,0.0616767103594602,670.875428396876
-85,35,44,0.0536942861476656,492.532641600912
-85,39,44,0.0337146633931958,165.971827916081
-85,41,44,0.0210511415794409,25.3056554065523
-85,43,44,0.010310991489256,0
-85,45,44,0.003883377235288,0
-80,33,44,0.0616767103594602,670.875428396876
-80,35,44,0.0536942861476656,492.532641600912
-80,39,44,0.0337146633931958,165.971827916081
-80,41,44,0.0210511415794409,25.3056554065523
-75,39,44,0.0337146633931958,165.971827916081
-75,41,44,0.0210511415794409,25.3056554065523
-75,43,44,0.010310991489256,0
-70,45,44,0.003883377235288,0
-100,29,51,0.0894389224359509,1258.27199778867
-100,31,51,0.0826962895953105,1031.41058377299
-100,33,51,0.0750160094551247,812.777006714734
-100,35,51,0.0662071363562258,603.590284207992
-100,39,51,0.0441656710663576,218.750087591467
-100,41,51,0.0301952421398779,51.0456764168127
-100,43,51,0.0177784852723477,1.49878859563309
-100,45,51,0.00935253625419186,0
-100,47,51,0.00380956726016059,0
-100,49,51,0.000773094095766189,0
-95,31,51,0.0826962895953105,1031.41058377299
-95,33,51,0.0750160094551247,812.777006714734
-95,35,51,0.0662071363562258,603.590284207992
-95,39,51,0.0441656710663576,218.750087591467
-95,41,51,0.0301952421398779,51.0456764168127
-95,43,51,0.0177784852723477,1.49878859563309
-95,45,51,0.00935253625419186,0
-95,47,51,0.00380956726016059,0
-95,49,51,0.000773094095766189,0
-90,31,51,0.0826962895953105,1031.41058377299
-90,33,51,0.0750160094551247,812.777006714734
-90,35,51,0.0662071363562258,603.590284207992
-90,39,51,0.0441656710663576,218.750087591467
-90,41,51,0.0301952421398779,51.0456764168127
-90,43,51,0.0177784852723477,1.49878859563309
-90,45,51,0.00935253625419186,0
-85,31,51,0.0826962895953105,1031.41058377299
-85,33,51,0.0750160094551247,812.777006714734
-85,35,51,0.0662071363562258,603.590284207992
-85,39,51,0.0441656710663576,218.750087591467
-85,41,51,0.0301952421398779,51.0456764168127
-85,43,51,0.0177784852723477,1.49878859563309
-85,45,51,0.00935253625419186,0
-80,33,51,0.0750160094551247,812.777006714734
-80,35,51,0.0662071363562258,603.590284207992
-80,39,51,0.0441656710663576,218.750087591467
-80,41,51,0.0301952421398779,51.0456764168127
